Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-36.47683,63.29045,90,bottom
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-57.94375,30.19425,-90,bottom
C2,0.1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-119.025,23.368,0,bottom
C3,0.1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-126.4125,23.368,180,bottom
C4,0.1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-127.984299,32.434196,90,bottom
C5,0.1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-117.197634,36.080406,135,bottom
C6,1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-114.50625,30.51175,180,bottom
C7,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-125.496751,40.158749,135,bottom
C8,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-120.0625,40.03675,45,bottom
D_SPACE1,D,D_SOD-123,-13.413581,36.86175,90,bottom
D_SPACE2,D,D_SOD-123,-32.462885,36.86175,90,bottom
D_SPACE3,D,D_SOD-123,-51.512189,36.86175,90,bottom
D_SPACE4,D,D_SOD-123,-70.561493,36.86175,90,bottom
D_SPACE5,D,D_SOD-123,-89.610797,36.86175,90,bottom
D_SPACE6,D,D_SOD-123,-108.660102,36.86175,90,bottom
D_SPACE7,D,D_SOD-123,-15.795742,-20.28825,90,bottom
D_SPACE8,D,D_SOD-123,-142.007762,36.86175,90,bottom
D_SPACE9,D,D_SOD-123,-161.057762,36.86175,90,bottom
D_SPACE10,D,D_SOD-123,-180.107762,36.86175,90,bottom
D_SPACE11,D,D_SOD-123,-199.157762,36.86175,90,bottom
D_SPACE12,D,D_SOD-123,-218.207762,36.86175,90,bottom
D_SPACE13,D,D_SOD-123,-237.257762,36.86175,90,bottom
D_SPACE14,D,D_SOD-123,-13.413581,17.81175,90,bottom
D_SPACE15,D,D_SOD-123,-32.462885,17.81175,90,bottom
D_SPACE16,D,D_SOD-123,-51.512189,17.81175,90,bottom
D_SPACE17,D,D_SOD-123,-70.561493,17.81175,90,bottom
D_SPACE18,D,D_SOD-123,-89.610797,17.81175,90,bottom
D_SPACE19,D,D_SOD-123,-108.660102,17.81175,90,bottom
D_SPACE20,D,D_SOD-123,-234.872325,-20.28825,90,bottom
